Sample Number (10 samples per second),t (c)
1514,25.18
1515,25.18
1516,25.18
1517,25.18
1518,25.18
1519,25.18
1520,25.18
1521,25.18
1522,25.18
1523,25.18
1524,25.18
1525,25.18
1526,25.18
1527,25.18
1528,25.18
1529,25.18
1530,25.18
1531,25.18
1532,25.18
1533,25.18
1534,25.18
1535,25.18
1536,25.18
1537,25.18
1538,25.18
1539,25.119999
1540,25.119999
1541,25.119999
1542,25.119999
1543,25.119999
1544,25.119999
1545,25.119999
1546,25.119999
1547,25.119999
1548,25.119999
1549,25.119999
1550,25.119999
1551,25.119999
1552,25.119999
1553,25.119999
1554,25.119999
1555,25.119999
1556,25.119999
1557,25.119999
1558,25.119999
1559,25.119999
1560,25.119999
1561,25.119999
1562,25.119999
1563,25.119999
1564,25.119999
1565,25.119999
1566,25.119999
1567,25.119999
1568,25.119999
1569,25.119999
1570,25.119999
1571,25.06
1572,25.06
1573,25.06
1574,25.06
1575,25.06
1576,25.06
1577,25.06
1578,25.06
1579,25.06
1580,25.06
1581,25.06
1582,25.06
1583,25.06
1584,25.06
1585,25.06
1586,25.06
1587,25.06
1588,25.06
1589,25.06
1590,25.06
1591,25.06
1592,25.06
1593,25.06
1594,25.06
1595,25.06
1596,25.06
1597,25.06
1598,25.06
1599,25.0
1600,25.0
1601,25.06
1602,25.0
1603,25.0
1604,25.0
1605,25.0
1606,25.0
1607,25.0
1608,25.0
1609,25.0
1610,25.0
1611,25.0
1612,25.0
1613,25.0
1614,25.0
1615,25.0
1616,25.0
1617,25.0
1618,25.0
1619,25.0
1620,25.0
1621,25.0
1622,25.0
1623,25.0
1624,25.0
1625,25.0
1626,25.0
1627,25.0
1628,25.0
1629,25.0
1630,25.0
1631,25.0
1632,24.93
1633,24.93
1634,24.93
1635,25.0
1636,24.93
1637,24.93
1638,24.93
1639,24.93
1640,24.93
1641,24.93
1642,24.93
1643,24.93
1644,24.93
1645,24.93
1646,24.93
1647,24.93
1648,24.93
1649,24.93
1650,24.93
1651,24.93
1652,24.93
1653,24.93
1654,24.93
1655,24.93
1656,24.93
1657,24.93
1658,24.93
1659,24.93
1660,24.93
1661,24.93
1662,24.93
1663,24.93
1664,24.93
1665,24.93
1666,24.93
1667,24.869999
1668,24.93
1669,24.869999
1670,24.869999
1671,24.869999
1672,24.869999
1673,24.869999
1674,24.869999
1675,24.869999
1676,24.869999
1677,24.869999
1678,24.869999
1679,24.869999
1680,24.869999
1681,24.869999
1682,24.869999
1683,24.869999
1684,24.869999
1685,24.869999
1686,24.869999
1687,24.869999
1688,24.869999
1689,24.869999
1690,24.869999
1691,24.869999
1692,24.869999
1693,24.869999
1694,24.869999
1695,24.869999
1696,24.869999
1697,24.869999
1698,24.869999
1699,24.869999
1700,24.81
1701,24.869999
1702,24.869999
1703,24.869999
1704,24.81
1705,24.869999
1706,24.81
1707,24.81
1708,24.81
1709,24.81
1710,24.81
1711,24.81
1712,24.81
1713,24.81
1714,24.81
1715,24.81
1716,24.81
1717,24.81
1718,24.81
1719,24.81
1720,24.81
1721,24.81
1722,24.81
1723,24.81
1724,24.81
1725,24.81
1726,24.81
1727,24.81
1728,24.81
1729,24.81
1730,24.81
1731,24.81
1732,24.81
1733,24.81
1734,24.81
1735,24.81
1736,24.81
1737,24.81
1738,24.81
1739,24.75
1740,24.81
1741,24.75
1742,24.81
1743,24.75
1744,24.75
1745,24.75
1746,24.75
1747,24.75
1748,24.75
1749,24.75
1750,24.75
1751,24.75
1752,24.75
1753,24.75
1754,24.75
1755,24.75
1756,24.75
1757,24.75
1758,24.75
1759,24.75
1760,24.75
1761,24.75
1762,24.75
1763,24.75
1764,24.75
1765,24.75
1766,24.75
1767,24.75
1768,24.75
1769,24.75
1770,24.75
1771,24.75
1772,24.75
1773,24.75
1774,24.75
1775,24.75
1776,24.68
1777,24.75
1778,24.75
1779,24.68
1780,24.68
1781,24.68
1782,24.68
1783,24.68
1784,24.68
1785,24.68
1786,24.68
1787,24.68
1788,24.68
1789,24.68
1790,24.68
1791,24.68
1792,24.68
1793,24.68
1794,24.68
1795,24.68
1796,24.68
1797,24.68
1798,24.68
1799,24.68
1800,24.68
1801,24.68
1802,24.68
1803,24.68
1804,24.68
1805,24.68
1806,24.68
1807,24.68
1808,24.68
1809,24.68
1810,24.68
1811,24.68
1812,24.68
1813,24.68
1814,24.68
1815,24.619999
1816,24.68
1817,24.68
1818,24.68
1819,24.619999
1820,24.619999
1821,24.619999
1822,24.619999
1823,24.619999
1824,24.619999
1825,24.619999
1826,24.619999
1827,24.619999
1828,24.619999
1829,24.619999
1830,24.619999
1831,24.619999
1832,24.619999
1833,24.619999
1834,24.619999
1835,24.619999
1836,24.619999
1837,24.619999
1838,24.619999
1839,24.619999
1840,24.619999
1841,24.619999
1842,24.619999
1843,24.619999
1844,24.619999
1845,24.619999
1846,24.619999
1847,24.619999
1848,24.619999
1849,24.619999
1850,24.619999
1851,24.619999
1852,24.619999
1853,24.619999
1854,24.619999
1855,24.56
1856,24.56
1857,24.56
1858,24.56
1859,24.56
1860,24.619999
1861,24.56
1862,24.56
1863,24.56
1864,24.56
1865,24.56
1866,24.56
1867,24.56
1868,24.56
1869,24.56
1870,24.56
1871,24.56
1872,24.56
1873,24.56
1874,24.56
1875,24.56
1876,24.56
1877,24.56
1878,24.56
1879,24.56
1880,24.56
1881,24.56
1882,24.56
1883,24.56
1884,24.56
1885,24.56
1886,24.56
1887,24.56
1888,24.56
1889,24.56
1890,24.56
1891,24.56
1892,24.56
1893,24.56
1894,24.56
1895,24.56
1896,24.5
1897,24.5
1898,24.56
1899,24.5
1900,24.56
1901,24.56
1902,24.5
1903,24.5
1904,24.5
1905,24.5
1906,24.5
1907,24.5
1908,24.5
1909,24.5
1910,24.5
1911,24.5
1912,24.5
1913,24.5
1914,24.5
1915,24.5
1916,24.5
1917,24.5
1918,24.5
1919,24.5
1920,24.5
1921,24.5
1922,24.5
1923,24.5
1924,24.5
1925,24.5
1926,24.5
1927,24.5
1928,24.5
1929,24.5
1930,24.5
1931,24.5
1932,24.5
1933,24.5
1934,24.5
1935,24.5
1936,24.5
1937,24.5
1938,24.5
1939,24.5
1940,24.56
1941,24.5
1942,24.56
1943,24.56
1944,24.56
1945,24.56
1946,24.56
1947,24.56
1948,24.56
1949,24.56
1950,24.56
1951,24.56
1952,24.56
1953,24.56
1954,24.619999
1955,24.619999
1956,24.619999
1957,24.619999
1958,24.619999
1959,24.619999
1960,24.619999
1961,24.619999
1962,24.619999
1963,24.619999
1964,24.619999
1965,24.619999
1966,24.619999
1967,24.68
1968,24.68
1969,24.68
1970,24.68
1971,24.68
1972,24.68
1973,24.68
1974,24.68
1975,24.75
1976,24.75
1977,24.75
1978,24.75
1979,24.75
1980,24.75
1981,24.75
1982,24.75
1983,24.75
1984,24.75
1985,24.81
1986,24.81
1987,24.81
1988,24.81
1989,24.81
1990,24.81
1991,24.81
1992,24.81
1993,24.869999
1994,24.869999
1995,24.869999
1996,24.869999
1997,24.869999
1998,24.869999
1999,24.93
2000,24.93
2001,24.93
2002,24.93
2003,24.93
2004,24.93
2005,24.93
2006,25.0
2007,25.0
2008,25.0
2009,25.0
2010,25.0
2011,25.0
2012,25.0
2013,25.06
2014,25.06
2015,25.06
2016,25.06
2017,25.06
2018,25.06
2019,25.06
2020,25.119999
2021,25.119999
2022,25.119999
2023,25.119999
2024,25.119999
2025,25.119999
2026,25.18
2027,25.18
2028,25.18
2029,25.18
2030,25.18
2031,25.18
2032,25.18
2033,25.18
2034,25.18
2035,25.25
2036,25.25
2037,25.25
2038,25.25
2039,25.25
2040,25.25
2041,25.25
2042,25.25
2043,25.31
2044,25.31
2045,25.31
2046,25.31
2047,25.31
2048,25.31
2049,25.31
2050,25.31
2051,25.31
2052,25.369999
2053,25.369999
2054,25.369999
2055,25.369999
2056,25.369999
2057,25.369999
2058,25.369999
2059,25.369999
2060,25.369999
2061,25.369999
2062,25.43
2063,25.43
2064,25.43
